ground_truth_m,n_samples,mean_m,std_m,error_m,error_pct,min_reading,max_reading
1.0,50,1.0269,0.0002,0.0269,2.69,1.0265,1.0273
1.0,50,1.0268,0.0002,0.0268,2.68,1.0264,1.0273
1.0,50,1.0267,0.0002,0.0267,2.67,1.0264,1.0273
1.0,50,1.0266,0.0002,0.0266,2.66,1.0262,1.0271
1.0,50,1.0267,0.0002,0.0267,2.67,1.0264,1.0273
2.0,50,2.0701,0.0004,0.0701,3.51,2.0691,2.0709
2.0,50,2.0698,0.0005,0.0698,3.49,2.0687,2.0705
2.0,50,2.0698,0.0004,0.0698,3.49,2.0691,2.0705
2.0,50,2.0696,0.0004,0.0696,3.48,2.0687,2.0705
2.0,50,2.0699,0.0004,0.0699,3.5,2.0691,2.0709
3.0,50,3.0753,0.0012,0.0753,2.51,3.0727,3.078
3.0,50,3.0747,0.0013,0.0747,2.49,3.0727,3.0777
3.0,50,3.0749,0.0014,0.0749,2.5,3.0724,3.0778
3.0,50,3.0755,0.0014,0.0755,2.52,3.0728,3.0789
3.0,50,3.0757,0.0014,0.0757,2.52,3.0727,3.0785
